Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,TimeStamp
1.9904033,0.44359586,0.13256139,0.0,0.9265753,0.18693984,0.09675444,0.0,1.1551677,0.19964544,0.4771448,0.0,0.90206337,0.28100035,0.20098406,0.0,0.36944678,0.14147073,0.13361275,0.0,810.696,852.1978,863.47986,618.9011,860.2564,0.2440185546875,0.16571044921875,0.97235107421875,0.58319091796875,3.760833740234375,5.38330078125,1.0,1.0,1.0,1.0,2.0,93.31,0.0,2023-10-31 20:11:02.583
1.1537383,0.48963532,0.5596682,0.0,0.38741666,0.00040078134,0.048122283,0.0,0.61336815,0.88183224,0.20436227,0.0,0.6781724,0.35313624,0.2505087,0.0,0.24327303,0.017323438,0.013287184,0.0,1080.2565,864.68866,842.52747,64.468864,1232.1611,0.1895751953125,0.135009765625,0.94805908203125,2.093505859375,3.349609375,13.876953125,1.0,1.0,1.0,1.0,2.0,93.31,0.0,2023-10-31 20:11:03.584
1.1537383,1.011086,0.76326925,0.0,0.38741666,0.14408621,0.26097873,0.0,0.61336815,0.9006605,0.20927069,0.0,0.6781724,0.44431603,0.26544964,0.0,0.24327303,0.029290786,0.00061392214,0.0,1008.1319,869.5238,823.5897,1207.9854,991.6117,0.280517578125,0.148681640625,0.95361328125,1.981353759765625,3.1402587890625,5.704803466796875,1.0,1.0,1.0,1.0,4.0,93.31,0.0,2023-10-31 20:11:04.591
1.1537383,0.8209089,0.42430907,0.0,0.38741666,0.20184803,0.2755528,0.0,0.61336815,0.14446017,0.20639929,0.0,0.6781724,0.5033937,0.28239644,0.0,0.24327303,0.025435383,0.2049374,0.0,999.67035,863.8828,847.76556,1277.2894,1023.8461,0.26702880859375,0.1639404296875,0.9482421875,1.77947998046875,0.814971923828125,1.42059326171875,1.0,2.0,1.0,1.0,2.0,93.31,0.0,2023-10-31 20:11:05.599
1.1537383,0.47488546,0.01744626,0.0,0.38741666,0.12860408,0.0043316577,0.0,0.61336815,0.016450444,0.17340499,0.0,0.6781724,0.42563668,0.09256358,0.0,0.24327303,0.04074862,0.1303114,0.0,1022.6374,869.12085,836.4835,1435.238,990.0,0.27349853515625,0.17401123046875,0.94793701171875,0.859832763671875,3.18511962890625,2.6617431640625,1.0,2.0,1.0,1.0,2.0,93.31,0.0,2023-10-31 20:11:06.608
1.1537383,0.5744838,0.07429641,0.0,0.38741666,0.33139062,0.061375353,0.0,0.61336815,0.04694886,0.43656197,0.0,0.6781724,0.23651442,0.12094351,0.0,0.24327303,0.1563171,0.033971407,0.0,935.2015,847.3626,857.4359,42.71062,791.3553,0.06396484375,0.17010498046875,0.97344970703125,5.585174560546875,12.32177734375,4.56085205078125,1.0,2.0,1.0,1.0,2.0,93.31,0.0,2023-10-31 20:11:07.617
1.1537383,1.2248517,0.96335036,0.0,0.38741666,0.6550886,0.40925312,0.0,0.61336815,0.585758,0.48684943,0.0,0.6781724,0.34966978,0.27445686,0.0,0.24327303,0.07909137,0.0328897,0.0,962.6007,873.95605,843.73627,1060.9158,807.47253,0.26947021484375,0.18310546875,0.99627685546875,4.83001708984375,4.66552734375,6.033782958984375,1.0,2.0,1.0,1.0,4.0,93.31,0.0,2023-10-31 20:11:08.624
1.1537383,1.1567513,0.86356777,0.0,0.38741666,0.48115122,0.24489509,0.0,0.61336815,0.5333383,0.25094384,0.0,0.6781724,0.47691292,0.162315,0.0,0.24327303,0.22082518,0.145532,0.0,965.0183,874.7619,828.4249,1056.8865,1000.4762,0.028564453125,0.11492919921875,0.9666748046875,5.48797607421875,10.041351318359377,12.418975830078123,1.0,2.0,1.0,1.0,4.0,93.31,0.0,2023-10-31 20:11:09.634
1.1537383,0.6317464,0.33250937,0.0,0.38741666,0.1328617,0.11362549,0.0,0.61336815,0.10006283,0.5107126,0.0,0.6781724,0.41066277,0.5256171,0.0,0.24327303,0.1672477,0.20875254,0.0,975.4945,871.13556,831.6484,1258.7546,855.0183,0.00372314453125,0.0694580078125,0.99102783203125,0.142059326171875,0.800018310546875,3.46923828125,1.0,2.0,1.0,1.0,2.0,93.31,0.0,2023-10-31 20:11:10.648
1.1537383,0.44853193,0.6842675,0.0,0.38741666,0.20054081,0.251912,0.0,0.61336815,0.0016651481,0.53439134,0.0,0.6781724,0.2291348,0.49942335,0.0,0.24327303,0.0072663464,0.22031371,0.0,792.1612,857.4359,861.06226,738.97437,765.56775,0.02398681640625,0.10284423828125,0.99359130859375,0.4486083984375,1.278533935546875,1.15142822265625,1.0,2.0,1.0,1.0,2.0,93.27,0.0,2023-10-31 20:11:11.649
